"book_title","year","country","author"
"Человек без лица",1953,"USA","Альфред Бестер"
"Машина вечности",1955,"USA","Марк Клифтон и Фрэнк Райли"
"Двойник",1956,"USA","Роберт Хайнлайн"
"Считаетет его мертвым",1956,"England","Эрик Фрэнк Рассел"
"Конец вечности",1956,"USA","Айзек Азимов"
"Не в этом августе",1956,"USA","Сирил Корнблат"
"Долгое завтра",1956,"USA","Ли Брэкетт"
"Большое время",1958,"USA","Фриц Лейбер"
"Дело совести",1959,"USA","Джеймс Блиш"
"Враждебные звезды",1959,"USA","Пол Андерсон"
"Кто?",1959,"USA","Альгис Будрис"
"Имею скафандр - готов путешествовать",1959,"USA","Роберт Хайнлайн"
"Корпорация ""Бессмертие""",1959,"USA","Роберт Шекли"
